##########################################################################################
### MCD_v5.3 with climatology average solar scenario.
### Ls 32.8deg. Altitude 10.0 m ALS Local time 0.0h (at longitude 0) 
### --------------------------------------------------------------------------------------
### Column 1 is East longitude (degrees)
### Columns 2+ are surface temperature (K)
### Line 1 is North latitude (degrees)
### --------------------------------------------------------------------------------------
### Retrieved on: 2021-04-17T20:40:24.275280
### Mars Climate Database (c) LMD/OU/IAA/ESA/CNES
##########################################################################################
---- ||   -9.00000e+01   -8.61702e+01   -8.23404e+01   -7.85106e+01   -7.46809e+01   -7.08511e+01   -6.70213e+01   -6.31915e+01   -5.93617e+01   -5.55319e+01   -5.17021e+01   -4.78723e+01   -4.40426e+01   -4.02128e+01   -3.63830e+01   -3.25532e+01   -2.87234e+01   -2.48936e+01   -2.10638e+01   -1.72340e+01   -1.34043e+01   -9.57447e+00   -5.74468e+00   -1.91489e+00    1.91489e+00    5.74468e+00    9.57447e+00    1.34043e+01    1.72340e+01    2.10638e+01    2.48936e+01    2.87234e+01    3.25532e+01    3.63830e+01    4.02128e+01    4.40426e+01    4.78723e+01    5.17021e+01    5.55319e+01    5.93617e+01    6.31915e+01    6.70213e+01    7.08511e+01    7.46809e+01    7.85106e+01    8.23404e+01    8.61702e+01    9.00000e+01
-----------------------------------
-134 ||    1.43678e+02    1.44337e+02    1.45282e+02    1.47164e+02    1.49517e+02    1.52825e+02    1.58062e+02    1.64244e+02    1.72773e+02    1.82910e+02    1.94891e+02    2.04908e+02    2.14819e+02    2.24513e+02    2.32425e+02    2.35855e+02    2.38395e+02    2.43227e+02    2.47661e+02    2.51429e+02    2.54793e+02    2.57205e+02    2.59096e+02    2.60852e+02    2.62578e+02    2.64302e+02    2.65308e+02    2.64501e+02    2.61840e+02    2.61476e+02    2.64102e+02    2.65344e+02    2.64307e+02    2.62240e+02    2.60646e+02    2.58332e+02    2.53924e+02    2.48594e+02    2.45134e+02    2.40952e+02    2.29761e+02    2.06606e+02    1.78337e+02    1.64425e+02    1.52018e+02    1.50421e+02    1.49156e+02    1.48329e+02
-128 ||    1.43678e+02    1.44364e+02    1.45323e+02    1.47350e+02    1.49645e+02    1.52939e+02    1.57662e+02    1.63768e+02    1.70796e+02    1.80693e+02    1.92585e+02    2.01965e+02    2.10969e+02    2.19817e+02    2.27054e+02    2.31306e+02    2.34553e+02    2.38382e+02    2.42187e+02    2.45474e+02    2.47949e+02    2.50197e+02    2.52244e+02    2.54222e+02    2.56334e+02    2.58069e+02    2.59000e+02    2.59856e+02    2.59619e+02    2.59373e+02    2.59107e+02    2.58572e+02    2.58026e+02    2.57142e+02    2.55800e+02    2.53659e+02    2.50557e+02    2.46043e+02    2.42117e+02    2.37764e+02    2.28333e+02    2.04822e+02    1.76680e+02    1.55071e+02    1.53871e+02    1.50559e+02    1.49191e+02    1.48329e+02
-122 ||    1.43678e+02    1.44439e+02    1.45314e+02    1.47444e+02    1.49313e+02    1.52133e+02    1.56872e+02    1.62590e+02    1.69341e+02    1.78685e+02    1.89742e+02    1.98766e+02    2.06842e+02    2.14916e+02    2.20954e+02    2.25031e+02    2.29660e+02    2.33464e+02    2.36204e+02    2.38139e+02    2.39950e+02    2.42466e+02    2.44498e+02    2.46176e+02    2.48190e+02    2.49915e+02    2.51444e+02    2.52758e+02    2.53540e+02    2.53478e+02    2.52909e+02    2.52664e+02    2.52039e+02    2.50588e+02    2.48985e+02    2.47263e+02    2.46087e+02    2.42874e+02    2.38999e+02    2.34445e+02    2.26751e+02    2.03424e+02    1.76286e+02    1.59820e+02    1.51747e+02    1.50430e+02    1.49195e+02    1.48329e+02
-117 ||    1.43678e+02    1.44651e+02    1.45318e+02    1.47175e+02    1.48875e+02    1.51367e+02    1.55693e+02    1.61276e+02    1.67981e+02    1.76424e+02    1.86279e+02    1.94265e+02    2.01668e+02    2.08898e+02    2.14531e+02    2.18938e+02    2.23620e+02    2.27848e+02    2.30695e+02    2.31791e+02    2.33012e+02    2.35056e+02    2.36511e+02    2.37997e+02    2.39978e+02    2.42320e+02    2.44069e+02    2.44692e+02    2.44949e+02    2.45513e+02    2.45749e+02    2.45927e+02    2.45312e+02    2.43548e+02    2.41788e+02    2.41083e+02    2.41179e+02    2.38996e+02    2.35737e+02    2.31309e+02    2.24037e+02    2.01313e+02    1.77472e+02    1.60282e+02    1.53738e+02    1.50411e+02    1.49110e+02    1.48329e+02
-111 ||    1.43678e+02    1.44630e+02    1.45280e+02    1.46987e+02    1.48379e+02    1.50795e+02    1.55203e+02    1.60364e+02    1.66171e+02    1.74270e+02    1.83142e+02    1.90140e+02    1.97061e+02    2.03580e+02    2.08731e+02    2.12920e+02    2.17534e+02    2.21749e+02    2.24855e+02    2.26462e+02    2.27648e+02    2.27889e+02    2.27571e+02    2.28459e+02    2.30345e+02    2.32926e+02    2.34447e+02    2.35525e+02    2.36538e+02    2.37534e+02    2.38225e+02    2.38503e+02    2.38175e+02    2.37100e+02    2.35307e+02    2.34967e+02    2.35985e+02    2.34607e+02    2.31971e+02    2.28190e+02    2.20634e+02    1.98550e+02    1.74305e+02    1.59107e+02    1.52202e+02    1.50229e+02    1.49028e+02    1.48329e+02
-105 ||    1.43678e+02    1.44558e+02    1.45197e+02    1.46787e+02    1.48127e+02    1.50337e+02    1.54536e+02    1.59271e+02    1.63978e+02    1.71407e+02    1.79637e+02    1.86888e+02    1.93864e+02    1.98954e+02    2.01825e+02    2.05287e+02    2.10418e+02    2.15544e+02    2.18299e+02    2.20241e+02    2.21141e+02    2.18434e+02    2.16422e+02    2.18105e+02    2.20589e+02    2.22691e+02    2.23253e+02    2.24856e+02    2.27155e+02    2.28817e+02    2.29904e+02    2.30388e+02    2.30649e+02    2.30337e+02    2.29038e+02    2.28909e+02    2.30539e+02    2.29924e+02    2.27876e+02    2.24784e+02    2.16882e+02    1.97128e+02    1.74351e+02    1.55395e+02    1.56032e+02    1.50323e+02    1.48954e+02    1.48329e+02
-100 ||    1.43678e+02    1.44529e+02    1.45093e+02    1.46526e+02    1.47700e+02    1.49784e+02    1.53783e+02    1.58470e+02    1.62794e+02    1.69213e+02    1.76165e+02    1.82749e+02    1.88694e+02    1.92338e+02    1.95764e+02    2.00124e+02    2.05139e+02    2.10859e+02    2.13596e+02    2.14104e+02    2.11670e+02    2.06877e+02    2.05185e+02    2.05941e+02    2.08835e+02    2.11553e+02    2.13575e+02    2.15222e+02    2.16778e+02    2.18143e+02    2.19427e+02    2.20270e+02    2.20874e+02    2.21791e+02    2.21708e+02    2.22790e+02    2.25066e+02    2.24956e+02    2.23411e+02    2.20949e+02    2.13282e+02    1.97882e+02    1.78354e+02    1.61219e+02    1.56925e+02    1.50275e+02    1.48894e+02    1.48329e+02
-094 ||    1.43678e+02    1.44529e+02    1.45058e+02    1.46197e+02    1.47453e+02    1.49456e+02    1.53024e+02    1.57424e+02    1.62075e+02    1.68058e+02    1.74633e+02    1.80210e+02    1.83842e+02    1.86604e+02    1.92247e+02    1.99394e+02    2.05392e+02    2.09795e+02    2.10759e+02    2.10515e+02    2.10243e+02    2.08493e+02    2.02843e+02    1.96403e+02    1.95990e+02    1.98705e+02    2.01607e+02    2.04047e+02    2.05619e+02    2.06950e+02    2.08140e+02    2.08798e+02    2.09284e+02    2.10333e+02    2.11816e+02    2.15489e+02    2.19293e+02    2.20624e+02    2.18953e+02    2.17072e+02    2.11289e+02    1.99064e+02    1.81281e+02    1.62651e+02    1.57046e+02    1.50306e+02    1.48901e+02    1.48329e+02
-088 ||    1.43678e+02    1.44481e+02    1.45083e+02    1.45837e+02    1.47141e+02    1.49399e+02    1.52576e+02    1.56545e+02    1.61108e+02    1.66949e+02    1.73770e+02    1.79440e+02    1.82502e+02    1.85477e+02    1.90434e+02    1.97118e+02    2.02934e+02    2.07428e+02    2.08664e+02    2.08257e+02    2.08068e+02    2.08967e+02    2.05519e+02    1.95200e+02    1.89191e+02    1.88757e+02    1.90551e+02    1.92517e+02    1.93798e+02    1.95050e+02    1.95609e+02    1.95712e+02    1.96582e+02    1.97979e+02    2.01652e+02    2.08520e+02    2.13466e+02    2.16240e+02    2.15393e+02    2.13700e+02    2.09728e+02    1.98929e+02    1.81380e+02    1.62806e+02    1.57511e+02    1.50407e+02    1.48888e+02    1.48329e+02
-082 ||    1.43678e+02    1.44435e+02    1.45192e+02    1.45768e+02    1.46916e+02    1.49343e+02    1.52317e+02    1.56045e+02    1.61017e+02    1.66290e+02    1.72550e+02    1.77678e+02    1.81490e+02    1.85105e+02    1.88402e+02    1.94230e+02    1.99926e+02    2.04508e+02    2.06178e+02    2.05729e+02    2.05217e+02    2.06656e+02    2.02568e+02    1.96270e+02    1.91365e+02    1.84843e+02    1.84801e+02    1.85880e+02    1.85943e+02    1.86011e+02    1.85185e+02    1.84166e+02    1.84611e+02    1.86263e+02    1.90703e+02    2.00837e+02    2.09325e+02    2.13716e+02    2.13775e+02    2.10923e+02    2.07348e+02    1.97723e+02    1.82175e+02    1.64659e+02    1.57803e+02    1.50427e+02    1.48889e+02    1.48329e+02
