,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-5.55319e+01,184.71099999999998,186.137,185.834,186.585,187.123,186.84400000000002,186.505,184.84599999999998,182.91,180.69299999999998,178.685,176.424,174.27,171.407,169.213,168.058,166.949,166.29,165.59799999999998,163.85,162.814,163.737,165.368,166.067,166.548,164.05700000000002,161.612,161.467,160.562,159.393,158.982,159.292,159.612,159.709,159.596,159.237,158.773,158.986,159.088,158.977,158.797,159.727,160.276,161.248,161.583,160.621,158.529,156.85,155.399,154.941,154.725,155.873,157.964,160.747,163.763,166.96599999999998,169.588,171.581,174.372,177.25099999999998,179.33,181.237,183.018,184.71099999999998
11,-5.17021e+01,197.206,199.108,200.202,200.93900000000002,200.68200000000002,200.47299999999998,199.19099999999997,197.47,194.891,192.585,189.74200000000002,186.27900000000002,183.142,179.637,176.165,174.63299999999998,173.77,172.55,170.827,169.83700000000002,169.392,170.12,172.687,173.62900000000002,172.762,170.65099999999998,167.112,164.843,164.10299999999998,163.066,162.399,162.649,163.002,162.88,162.764,162.662,162.369,162.714,163.239,163.895,165.854,167.949,168.946,169.257,168.891,168.207,165.78400000000002,162.136,159.485,157.55700000000002,156.645,158.58100000000002,161.455,164.273,168.25599999999997,172.019,176.44299999999998,180.44799999999998,183.778,187.21900000000002,190.017,192.745,195.44400000000002,197.206
12,-4.78723e+01,209.062,210.363,211.555,211.541,211.505,211.48,209.58599999999998,207.28400000000002,204.908,201.965,198.766,194.265,190.14,186.888,182.74900000000002,180.21,179.44,177.678,175.18,174.52,174.488,174.817,176.83599999999998,177.555,176.822,174.31,171.24099999999999,169.183,167.33599999999998,165.576,164.981,165.918,166.605,166.13299999999998,165.699,165.554,165.97099999999998,166.61700000000002,167.326,168.715,172.608,174.19799999999998,173.34099999999998,172.68599999999998,172.24099999999999,171.826,172.47400000000002,171.113,165.393,161.113,158.941,160.08700000000002,163.88,167.96400000000003,173.032,178.16,183.614,189.253,193.813,198.018,201.863,203.827,206.87400000000002,209.062
13,-4.40426e+01,218.516,220.465,221.47,221.997,221.83599999999998,221.576,219.429,217.487,214.81900000000002,210.96900000000002,206.842,201.668,197.06099999999998,193.864,188.69400000000002,183.842,182.502,181.49,179.172,178.30599999999998,178.327,178.60299999999998,179.024,179.442,179.21099999999998,177.157,174.546,172.601,170.762,169.021,168.252,168.59900000000002,168.891,168.365,168.005,167.584,167.25900000000001,167.64,169.14700000000002,171.903,176.53400000000002,177.209,175.732,175.521,175.49099999999999,175.69,176.352,176.19,172.18400000000003,167.195,164.388,164.91299999999998,168.99599999999998,173.50900000000001,178.90900000000002,184.685,191.63400000000001,197.43900000000002,202.17700000000002,206.451,211.412,213.196,216.153,218.516
14,-4.02128e+01,228.322,230.665,231.83599999999998,232.56900000000002,232.672,231.424,229.602,227.576,224.513,219.817,214.916,208.898,203.58,198.954,192.338,186.604,185.477,185.105,183.419,182.977,182.9,182.49200000000002,181.882,181.33599999999998,180.048,178.666,177.183,175.972,174.053,172.14700000000002,170.75400000000002,170.863,171.03799999999998,170.17700000000002,169.669,168.66299999999998,167.822,168.27700000000002,170.15099999999998,173.692,178.24099999999999,178.917,177.99200000000002,178.18200000000002,178.50599999999997,178.72099999999998,178.245,177.285,174.438,170.37099999999998,168.12900000000002,169.459,174.295,180.03799999999998,185.817,191.933,198.46599999999998,205.389,210.975,215.25799999999998,219.83599999999998,223.513,225.90400000000002,228.322
15,-3.63830e+01,237.805,240.618,242.424,243.553,243.105,241.572,239.833,236.03400000000002,232.425,227.054,220.954,214.53099999999998,208.731,201.825,195.764,192.247,190.43400000000003,188.40200000000002,186.0,187.0,187.674,186.715,185.30599999999998,183.90599999999998,181.888,180.06799999999998,178.485,177.56099999999998,175.925,174.36599999999999,172.31400000000002,172.72799999999998,172.93400000000003,171.49,170.958,169.42,168.44099999999997,169.52700000000002,171.092,173.38400000000001,177.938,180.642,180.58599999999998,179.86599999999999,180.179,179.74,177.53400000000002,175.842,173.986,170.641,169.475,172.90400000000002,178.96400000000003,186.33599999999998,193.07,199.455,205.739,212.47,219.832,224.764,228.329,233.954,235.97400000000002,237.805
16,-3.25532e+01,244.895,248.167,250.04,251.58900000000003,250.74200000000002,248.727,245.571,239.732,235.855,231.30599999999998,225.03099999999998,218.938,212.92,205.287,200.12400000000002,199.394,197.118,194.23,190.025,189.769,191.502,190.77599999999998,189.882,188.092,184.632,182.317,180.435,179.607,178.778,177.487,174.418,174.105,174.368,173.179,173.25599999999997,172.5,171.53,172.62900000000002,173.42,172.84400000000002,175.27700000000002,179.426,181.452,180.382,180.11,178.467,175.166,173.145,172.769,171.105,171.17700000000002,175.987,183.40599999999998,191.58900000000003,199.395,206.68599999999998,213.77599999999998,219.512,226.893,232.317,236.188,240.085,242.859,244.895
17,-2.87234e+01,249.49099999999999,252.929,254.37,256.079,254.229,251.47799999999998,247.94099999999997,242.579,238.395,234.553,229.66,223.62,217.53400000000002,210.418,205.139,205.392,202.93400000000003,199.926,195.787,193.74599999999998,193.93599999999998,193.787,193.46200000000002,192.072,189.25799999999998,187.111,184.984,183.613,183.03,181.291,178.15099999999998,176.96200000000002,176.653,176.165,176.17700000000002,176.37900000000002,176.385,176.715,177.197,176.795,176.24200000000002,177.735,179.467,179.628,178.722,176.05200000000002,173.982,172.65,172.308,172.50400000000002,174.701,180.517,188.048,195.828,203.88400000000001,212.06099999999998,219.873,225.705,231.77599999999998,237.065,241.425,245.282,247.56900000000002,249.49099999999999
18,-2.48936e+01,251.43400000000003,254.368,256.249,257.457,256.04400000000004,253.301,251.08700000000002,247.128,243.227,238.382,233.46400000000003,227.84799999999998,221.74900000000002,215.544,210.859,209.795,207.428,204.50799999999998,200.93400000000003,198.19799999999998,196.73,196.14700000000002,195.726,194.263,192.335,191.269,189.429,187.792,186.75599999999997,185.051,182.976,181.292,180.3,179.56900000000002,178.995,179.44799999999998,179.523,179.095,179.435,180.077,179.49099999999999,179.93900000000002,179.625,178.965,177.485,174.822,173.71599999999998,172.57,172.187,173.793,177.88,184.56900000000002,192.24900000000002,200.11599999999999,208.071,216.48,224.774,230.793,236.03,241.921,244.88299999999998,248.68099999999998,250.261,251.43400000000003
19,-2.10638e+01,254.52,257.048,258.62,259.752,260.209,257.749,255.459,251.785,247.66099999999997,242.187,236.204,230.695,224.855,218.299,213.59599999999998,210.75900000000001,208.66400000000002,206.178,203.41400000000002,200.82299999999998,198.1,197.765,197.33599999999998,195.646,194.37599999999998,193.315,193.049,191.053,187.83900000000003,186.987,186.175,184.18,182.507,181.31,180.347,180.166,179.68200000000002,178.952,179.102,180.488,181.05599999999998,180.831,180.16299999999998,178.66400000000002,176.574,174.928,174.34799999999998,172.93099999999998,172.826,175.611,180.648,187.59099999999998,195.775,204.287,212.854,221.34,229.785,235.887,239.77,244.93400000000003,246.965,251.274,253.415,254.52
