,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2021-04-17,-180.0,-174.0,-168.0,-162.0,-157.0,-151.0,-145.0,-140.0,-134.0,-128.0,-122.0,-117.0,-111.0,-105.0,-100.0,-94.0,-88.0,-82.0,-77.0,-71.0,-65.0,-60.0,-54.0,-48.0,-42.0,-37.0,-31.0,-25.0,-20.0,-14.0,-8.0,-2.0,2.0,8.0,14.0,20.0,25.0,31.0,37.0,42.0,48.0,54.0,60.0,65.0,71.0,77.0,82.0,88.0,94.0,100.0,105.0,111.0,117.0,122.0,128.0,134.0,140.0,145.0,151.0,157.0,162.0,168.0,174.0,180.0
1,-9.00000e+01,352.083,352.086,352.07199999999995,352.515,351.744,352.717,351.778,351.17199999999997,351.939,352.852,352.083,352.131,352.227,351.68199999999996,352.10699999999997,351.97,352.121,351.70599999999996,351.98699999999997,351.18199999999996,351.699,349.834,349.501,351.333,350.93,350.786,351.124,349.31,351.05300000000005,350.67699999999996,351.73699999999997,349.644,350.598,351.039,351.381,351.316,351.26800000000003,351.22,351.50699999999995,352.14099999999996,351.32599999999996,351.525,351.699,351.843,352.083,352.371,352.41900000000004,352.131,352.097,352.467,352.436,352.62199999999996,352.855,353.574,352.515,350.94699999999995,350.336,351.155,352.409,352.74199999999996,352.32300000000004,347.74300000000005,348.298,352.083
2,-8.61702e+01,431.349,402.033,407.619,413.416,415.405,402.06,399.32199999999995,402.528,411.561,421.445,431.833,436.602,430.82800000000003,404.095,427.54400000000004,420.55199999999996,410.32800000000003,403.72900000000004,400.517,394.403,385.65,382.48800000000006,359.496,356.211,363.611,335.98699999999997,335.485,332.963,324.70599999999996,316.51,314.152,314.07099999999997,316.939,334.80199999999996,331.556,356.255,350.462,352.964,359.506,365.69699999999995,363.655,367.061,367.29,369.49,375.88599999999997,379.596,382.66,383.601,410.793,396.909,386.778,372.11800000000005,377.963,372.55199999999996,373.296,383.986,390.89,401.811,416.38300000000004,401.725,384.44,388.154,432.918,431.349
3,-8.23404e+01,396.60400000000004,400.269,401.38199999999995,404.837,408.316,413.736,412.685,416.42800000000005,421.89,425.42699999999996,424.966,438.327,453.74199999999996,440.994,446.371,428.874,429.499,445.26199999999994,454.85900000000004,448.974,449.74300000000005,487.564,479.50699999999995,505.337,493.615,483.12199999999996,466.279,479.95300000000003,454.663,450.13199999999995,447.79400000000004,435.51,433.36800000000005,432.50800000000004,423.605,433.684,441.895,455.277,460.54,440.219,479.621,478.89300000000003,445.82800000000003,447.348,438.634,435.28,441.406,461.82599999999996,492.941,497.532,446.719,437.792,432.401,431.13800000000003,418.981,443.315,472.38699999999994,401.66,395.8,395.717,465.409,395.449,393.602,396.60400000000004
4,-7.85106e+01,426.832,431.654,434.85699999999997,433.689,437.39300000000003,441.175,515.385,441.80300000000005,445.24,450.664,484.01800000000003,478.726,480.834,483.546,480.916,471.154,449.51599999999996,450.25199999999995,461.57199999999995,512.557,465.675,487.566,462.50300000000004,500.586,497.043,490.088,494.639,496.10400000000004,481.80400000000003,489.819,478.54699999999997,479.32300000000004,470.411,436.62800000000004,430.403,460.973,465.599,489.154,465.05800000000005,477.684,468.529,481.654,509.361,513.212,512.802,502.38,509.38300000000004,506.44,515.675,514.286,517.756,475.61199999999997,449.67,464.952,467.689,468.379,433.80199999999996,448.039,454.793,415.69599999999997,415.75,412.324,416.73699999999997,426.832
5,-7.46809e+01,464.08,476.37,462.38300000000004,477.30300000000005,553.172,495.07199999999995,486.11199999999997,480.284,497.264,497.934,497.48,495.126,469.67400000000004,491.48900000000003,489.79900000000004,484.381,492.69800000000004,470.91,446.957,482.371,503.833,522.3580000000001,514.864,515.0459999999999,524.096,489.278,466.86,495.973,485.29400000000004,483.67800000000005,479.57599999999996,485.01099999999997,463.041,462.41900000000004,488.20300000000003,485.582,468.62199999999996,497.086,485.798,461.288,422.211,441.293,449.54900000000004,467.565,409.97900000000004,455.681,466.991,486.595,449.05,412.14,530.9119999999999,493.034,482.30300000000005,506.68199999999996,511.57,411.903,413.9,411.80699999999996,414.725,429.527,451.749,478.407,462.473,464.08
6,-7.08511e+01,483.413,523.6709999999999,552.655,555.638,515.986,435.54900000000004,462.374,494.48,465.407,481.71,493.219,477.847,491.935,496.434,492.62,506.695,493.29900000000004,474.23199999999997,513.6759999999999,519.775,537.806,534.743,506.564,528.0169999999999,525.8919999999999,505.94199999999995,498.43699999999995,462.116,446.126,492.647,505.126,515.964,520.15,511.89300000000003,484.037,513.373,497.31800000000004,504.62300000000005,451.079,488.1,493.795,501.76199999999994,506.07,502.56300000000005,488.80300000000005,536.248,492.285,429.298,431.87199999999996,442.786,480.635,513.111,510.57199999999995,520.09,562.654,569.9209999999999,537.6519999999999,523.99,528.1080000000001,508.95099999999996,532.424,503.306,496.574,483.413
7,-6.70213e+01,496.12800000000004,462.69599999999997,517.847,555.746,569.322,527.818,469.341,442.295,451.816,480.542,447.49,429.724,465.315,528.836,508.25300000000004,511.222,511.306,517.795,523.187,520.739,537.323,516.196,533.085,485.194,602.4069999999999,509.14300000000003,541.504,483.17900000000003,501.283,472.164,501.186,509.76800000000003,517.715,519.549,509.336,491.07300000000004,469.579,482.157,576.939,516.207,488.478,518.556,548.498,547.4259999999999,556.884,564.803,453.616,447.789,446.13800000000003,431.305,468.459,476.249,490.454,510.342,532.092,515.094,556.427,510.95099999999996,523.173,520.309,501.49199999999996,482.722,569.488,496.12800000000004
8,-6.31915e+01,476.829,476.57800000000003,499.151,540.669,543.482,552.549,558.687,502.874,481.374,486.64099999999996,471.671,474.278,486.66900000000004,478.83,495.965,504.38599999999997,501.319,514.149,490.843,608.5269999999999,552.9259999999999,537.136,546.744,548.747,506.084,519.117,505.899,559.05,507.825,501.281,504.44300000000004,508.522,521.246,514.484,538.818,527.352,518.939,479.259,475.347,492.17900000000003,579.4730000000001,598.507,550.818,551.2919999999999,575.085,566.3580000000001,514.4680000000001,513.075,470.955,509.756,463.77,470.577,436.60400000000004,569.665,506.43800000000005,536.448,511.866,516.689,451.32300000000004,503.584,534.217,529.881,504.272,476.829
9,-5.93617e+01,549.96,478.55699999999996,504.55699999999996,474.309,490.55,454.519,517.889,517.556,517.306,482.655,497.043,534.597,548.3340000000001,525.276,475.421,539.258,548.861,560.164,562.802,523.2769999999999,534.3,553.867,565.553,685.7769999999999,588.717,526.062,544.515,521.0319999999999,458.05,494.92400000000004,495.662,527.3580000000001,513.923,512.567,519.685,518.025,513.536,528.146,518.631,550.599,542.707,570.622,483.542,528.955,603.68,606.451,606.937,597.104,449.065,441.241,434.774,456.61400000000003,476.11800000000005,573.604,545.939,568.461,574.001,553.013,491.585,482.82800000000003,454.894,484.38699999999994,522.486,549.96
